# German-English translations created from the Universal dictionary at 2011-03-25T01:53:34-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 evening ; eve ; even ; eventide 	 time 
 Weile 	 while ; piece ; spell ; patch 	 transport 
 Wein 	 wine ; vino 	 food 
 Welle 	 wave ; moving ridge 	 nature 
 Welt 	 world 	 nature 
 Weltraum 	 space ; infinite 	 mathematics 
 Wert 	 value 	 art 
 Wettbewerb ; Wettkampf 	 contest ; competition 	 society 
 Wetter 	 weather ; weather condition ; conditions ; atmospheric condition 	 nature 
 Wille 	 volition ; will 	 abstract 
 Wille 	 will 	 society 
 Wind 	 wind ; air current ; current of air 	 nature 
 Winkel 	 angle 	 mathematics 
 Winter 	 winter ; wintertime 	 nature 
 Wirtschaft ; Wirtschaftssystem 	 economy ; economic system 	 business 
 Wissenschaft 	 science ; scientific discipline 	 society 
 Wissenschaftler 	 scientist 	 profession 
 Woche 	 week ; calendar week 	 time 
 Wochenende 	 weekend 	 time 
 Wolke 	 cloud 	 nature 
 Wolle 	 wool 	 material 
 Wort 	 word 	 linguistics 
 Wunsch 	 wish ; wishing ; want 	 abstract 
 Wurf 	 throw 	 sports 
 Wurzel 	 root 	 mathematics 
 Wurzel 	 root 	 nature 
 Zahn 	 tooth 	 anatomy 
 Zehe 	 toe 	 anatomy 
 Zeichen 	 sign 	 linguistics 
 Zeit 	 fourth dimension ; time 	 physics 
 Zeitalter ; Alter 	 historic period ; age 	 time 
 Zeitschrift 	 magazine ; mag 	 object 
 Zeitung 	 newspaper ; paper 	 object 
 Zelle 	 cell 	 anatomy 
 Zelle 	 cell ; jail cell ; prison cell 	 society 
 Zentrale 	 central ; telephone exchange ; exchange 	 society 
 Zerquetschung 	 crush ; crunch ; compaction 	 abstract 
 Zimmer 	 room 	 house 
 Zins 	 interest 	 business 
 Zittern 	 tremble ; shiver ; shake 	 abstract 
 Zucker 	 sugar ; refined sugar 	 food 
 Zug 	 train ; railroad train 	 transport 
 Zukunft 	 future ; hereafter ; futurity ; time to come 	 time 
 Zunahme ; Zuwachs 	 increase ; increment 	 abstract 
 Zunge 	 tongue ; lingua ; glossa ; clapper 	 anatomy 
 Zustand 	 state 	 mathematics 
 Zustand ; Status 	 condition ; status 	 abstract 
 Zündholz 	 match ; lucifer ; friction match 	 object 
 abfahren ; verlassen ; weggehen ; abgehen 	 exit ; go out ; get out ; leave 	 verb 
 abgesondert ; getrennt ; separat 	 separate 	 adjective 
 ablehnen 	 refuse ; reject ; pass up ; turn down ; decline 	 verb 
 abrunden 	 round off ; round down ; round out ; round 	 verb 
 abschließend ; final ; terminal ; endgültig 	 concluding ; final ; last ; terminal 	 adjective 
 abschneiden 	 cut 	 verb 
 abtrocknen ; trocknen 	 dry ; dry out 	 verb 
 abwärts 	 down ; downwards ; downward ; downwardly 	 adverb 
 abändern ; verändern ; ändern 	 change ; alter ; modify 	 verb 
 acht 	 eight ; 8 ; viii 	 number 
 achte 	 eighth ; 8th 	 number 
 achten ; beachten ; respektieren ; ehren 	 respect ; honor ; honour ; abide by ; observe 	 verb 
 achtzehn 	 eighteen ; 18 ; xviii 	 number 
 achtzig 	 eighty ; 80 ; lxxx ; fourscore 	 number 
 addieren ; zurechnen 	 add ; add together 	 verb 
 akzeptieren ; annehmen ; entgegennehmen 	 accept ; take ; have 	 verb 
 alle ; jede ; jeder 	 every 	 adjective 
 allein 	 entirely ; exclusively ; solely ; alone ; only 	 adverb 
 alles 	 all 	 adjective 
 alles 	 everything 	 pronoun 
 allgemein 	 general 	 adjective 
 als 	 than 	 conjunction 
 also ; daher 	 therefore ; hence ; thence ; thus ; so 	 adverb 
 alt 	 old 	 adjective 
 an ; eingeschaltet 	 on 	 adjective 
 anbieten ; bieten 	 offer 	 verb 
 ander ; sonstig ; andere ; anders 	 other 	 adjective 
 andere ; anders 	 another ; some other 	 adjective 
 anders 	 different 	 adjective 
 anders ; ungleich 	 unlike ; dissimilar ; different 	 adjective 
 anfangen ; beginnen 	 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 verb 
 anfeuchten 	 wet 	 verb 
 angreifen ; attackieren 	 assail ; assault ; set on ; attack 	 verb 
 anhaben ; tragen 	 wear ; have on 	 verb 
 anhalten ; halten ; stoppen 	 stop ; halt 	 verb 
 anheben ; erhöhen ; hochheben 	 raise ; lift ; elevate ; get up ; bring up 	 verb 
 ankommen ; anreisen ; eintreffen 	 arrive ; make it ; get in ; go far 	 verb 
 anordnen ; befehlen 	 order ; tell ; enjoin ; say 	 verb 
 ansagen ; annoncieren 	 announce ; denote 	 verb 
 anschrauben 	 screw 	 verb 
 antworten ; reagieren 	 answer ; reply ; respond 	 verb 
 anwachsen ; wachsen 	 grow 	 verb 
 anwenden ; verwenden ; benutzen 	 use ; utilize ; utilise ; apply ; employ 	 verb 
 anzweifeln ; bezweifeln ; zweifeln 	 doubt 	 verb 
 arbeitslos 	 unemployed 	 adjective 
 argumentieren 	 argue ; reason 	 verb 
 arm ; armselig ; bedauernswert ; dürftig ; erbärmlich ; kläglich 	 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 adjective 
 assistieren ; helfen 	 help ; assist ; aid 	 verb 
 auch 	 besides ; too ; also ; likewise ; as well 	 adverb 
 auf 	 at 	 preposition 
 auffangen ; fangen 	 catch ; grab ; take hold of 	 verb 
 aufmachen ; öffnen 	 open ; open up 	 verb 
 aufnehmen ; aufzeichnen 	 record ; tape 	 verb 
 aufrichtig 	 sincere 	 adjective 
 aufspulen ; aufwickeln ; aufrollen 	 wind ; wrap ; roll ; twine 	 verb 
 aus 	 of 	 preposition 
 aus 	 off 	 adjective 
 ausdrucken ; drucken 	 print ; impress 	 verb 
 ausgezeichnet 	 excellent ; first-class ; fantabulous ; splendid 	 adjective 
 ausgleichen 	 flush ; level ; even out ; even 	 verb 
 ausländisch ; fremd 	 foreign ; strange 	 adjective 
 aussehen 	 look ; appear ; seem 	 verb 
 auswählen ; wählen 	 choose ; take ; select ; pick out 	 verb 
 automatisch 	 automatic 	 adjective 
 außen ; außer ; außerhalb ; draußen 	 outside 	 adverb 
 außergewöhnlich ; ungewöhnlich ; besondere ; speziell 	 especial ; exceptional ; particular ; special 	 adjective 
 badezimmer 	 bathroom ; bath 	 house 
 bald 	 soon ; shortly ; presently ; before long 	 adverb 
 barbarisch 	 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 adjective 
 bauen 	 construct ; build ; make 	 verb 
 beabsichtigen ; vorhaben 	 intend ; mean ; think 	 verb 
 beachten 	 heed ; mind ; listen 	 verb 
 beantragen ; vorschlagen 	 propose ; suggest ; advise 	 verb 
 bearbeiten ; verarbeiten 	 process ; treat 	 verb 
 bedeutungsvoll ; signifikant ; wichtig 	 meaning ; pregnant ; significant 	 adjective 
 beeinflussen 	 affect ; impact ; bear upon ; bear on ; touch on ; touch 	 verb 
 beenden ; fertig stellen ; fertigstellen ; vollenden ; endigen ; erledigen 	 complete ; finish 	 verb 
 befreien ; erlösen ; freilassen ; freisetzen 	 free ; liberate ; release ; unloose ; unloosen ; loose 	 verb 
 befürchten ; fürchten 	 fear 	 verb 
 begehren ; wollen 	 desire ; want 	 verb 
 begrenzen ; beschränken ; einschränken ; limitieren 	 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 verb 
 begründen ; gründen ; stiften ; einrichten ; aufbauen 	 establish ; found ; plant ; constitute ; institute 	 verb 
 beherrschen ; kontrollieren ; steuern ; führen 	 control ; command 	 verb 
 beide 	 both 	 adjective 
 beißen 	 bite ; seize with teeth 	 verb 
 beklagenswert ; kläglich 	 deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry 	 adjective 
 bekommen 	 become ; go ; get 	 verb 
 bekommen 	 get ; acquire 	 verb 
 bekommen 	 obtain 	 verb 
 bekommen ; empfangen ; erhalten 	 receive ; have 	 verb 
 benötigen ; brauchen ; fordern ; verlangen ; bedürfen 	 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 verb 
 berechnen ; fakturieren 	 charge ; bill 	 verb 
 bereit 	 ready 	 adjective 
 bereits 	 already 	 adverb 
 berichten 	 report 	 verb 
 beschreiben 	 describe ; depict ; draw 	 verb 
 beschuldigen 	 charge ; accuse 	 verb 
 beschädigen 	 damage 	 verb 
 besiegen ; schlagen 	 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 verb 
 besitzen ; eignen 	 own ; have ; possess 	 verb 
 besondere 	 particular 	 adjective 
 besonders ; zumal 	 particularly ; peculiarly ; especially ; specially 	 adverb 
 besser 	 better 	 adjective 
 beste 	 best 	 adjective 
 besuchen 	 visit ; see 	 verb 
 betiteln ; bezeichnen 	 entitle ; title 	 verb 
 betrachten 	 see ; consider ; reckon ; view ; regard 	 verb 
 betrügen ; hereinlegen 	 flim-flam ; play a joke on ; play tricks ; trick ; fob ; fox ; pull a fast one on ; play a trick on 	 verb 
 bewegen 	 move ; displace 	 verb 
 beweisen 	 testify ; bear witness ; prove ; evidence ; show 	 verb 
 bewirken 	 induce ; stimulate ; cause ; have ; get ; make 	 verb 
 bewusst 	 conscious ; witting 	 adjective 
 bewältigen ; meistern ; schaffe 	 cope ; get by ; make out ; make do ; contend ; grapple ; deal ; manage 	 verb 
 bezahlen ; zahlen 	 pay 	 verb 
 beziffern ; nummerieren 	 number 	 verb 
 billig 	 cheap ; inexpensive 	 adjective 
 bis 	 until 	 conjunction 
 bisweilen ; manchmal 	 sometimes 	 adverb 
 bitter ; herb 	 bitter 	 adjective 
 blau 	 blue ; bluish ; blueish 	 color 
 bleiben 	 stay ; remain ; rest 	 verb 
 braun 	 brown ; brownish ; chocolate-brown ; dark-brown 	 color 
 brechen ; zerbrechen 	 break 	 verb 
 breit ; weit 	 wide ; broad 	 adjective 
 bringen 	 bring ; convey ; take 	 verb 
 brüchig ; gebrechlich ; zerbrechlich 	 delicate ; fragile ; frail 	 adjective 
 brüsk ; schroff 	 brusque ; brusk ; curt ; short 	 adjective 
 böse 	 hateful ; mean 	 adjective 
 chemisch 	 chemical ; chemic 	 adjective 
 da ; dort 	 there ; at that place ; in that location 	 adverb 
 danken 	 thank ; give thanks 	 verb 
 dann 	 then ; so ; and so ; and then 	 adverb 
 darstellen ; verkörpern ; vorstellen ; vertreten 	 represent ; stand for ; correspond 	 verb 
 debattieren ; bereden ; besprechen ; diskutieren 	 hash out ; discuss ; talk over 	 verb 
 dennoch ; aber ; nichtsdestotrotz ; nichtsdestoweniger ; gleichwohl ; trotzdem 	 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 adverb 
 der ; die 	 the 	 article 
 derart ; derartig ; solch 	 such 	 adverb 
 derb ; grob 	 crude ; rough 	 adjective 
 derb ; rau ; roh 	 rough ; unsmooth 	 adjective 
 derselbe 	 same 	 adjective 
 deutlich 	 clearly 	 adverb 
 deutlich ; klar 	 clear 	 adjective 
 dich 	 yourself 	 pronoun 
 dicht 	 tight 	 adjective 
 dicht ; dick 	 thick 	 adjective 
 dick ; gras 	 fat 	 adjective 
 dick ; stark 	 thick 	 adjective 
 dienen 	 serve 	 verb 
 diese 	 these 	 pronoun 
 diese 	 this 	 pronoun 
 diese 	 those 	 pronoun 
 direkt ; gerade 	 straight 	 adjective 
 direkt ; gerade ; geradewegs 	 directly ; straight ; direct 	 adverb 
 diät ; kalorienarm ; leicht 	 light ; lite ; low-cal ; calorie-free 	 adjective 
 dose 	 can ; tin ; tin can 	 object 
 drehen 	 turn 	 verb 
 drei 	 three ; 3 ; iii 	 number 
 dreizehn 	 thirteen ; 13 ; xiii 	 number 
 dreißig 	 thirty ; 30 ; xxx 	 number 
 dritte ; dritter 	 third ; 3rd ; tertiary 	 mathematics 
 drücken ; pressen 	 press 	 verb 
 duften ; riechen 	 smell 	 verb 
 dumm 	 stupid 	 adjective 
 dunkel 	 dark 	 adjective 
 durstig 	 thirsty 	 adjective 
 dünn 	 thin 	 adjective 
 eben 	 even ; fifty-fifty 	 adjective 
 eben ; flach 	 flat ; level ; plane 	 adjective 
 echt ; wahr 	 real ; existent 	 adjective 
 ehe ; vor 	 earlier ; before 	 adverb 
 eigen 	 own ; ain 	 adjective 
 ein ; beliebig 	 any ; whatever ; whatsoever 	 adjective 
 ein ; eins 	 one ; 1 ; i ; ane 	 number 
 einfach 	 elementary ; simple ; uncomplicated ; unproblematic 	 adjective 
 einmal 	 once ; one time ; in one case 	 adverb 
 einsam 	 alone ; lone ; lonely ; solitary 	 adjective 
 einschließen 	 include 	 verb 
 einschätzen ; schätzen 	 rate ; rank ; range ; order ; grade ; place 	 verb 
 einseifen 	 soap ; lather 	 verb 
 eintreten ; hineingehen ; hineinkommen 	 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 verb 
 einzeln ; einzelne ; einzig 	 single 	 adjective 
 elegant 	 stylish ; fashionable 	 adjective 
 elektrisch ; elektrischer 	 electric ; electrical 	 adjective 
 elementar ; fundamental ; primär ; grundlegend ; basisch 	 basic 	 adjective 
 elf 	 eleven ; 11 ; xi 	 number 
 empfinden ; fühlen ; spüren 	 feel ; experience 	 verb 
 empfindlich ; heikel 	 dainty ; nice ; overnice ; prissy ; squeamish 	 adjective 
 enden 	 end ; stop ; finish ; terminate ; cease 	 verb 
 eng 	 narrow 	 adjective 
 entdecken 	 discover ; find 	 verb 
 entdecken ; enthüllen ; finden 	 detect ; observe ; find ; discover ; notice 	 verb 
 entfernen ; beseitigen ; wegschaffen 	 remove ; take ; take away ; withdraw 	 verb 
 entfernt ; fern ; weit 	 far 	 adjective 
 entgegengesetzt ; gegenüberliegend 	 opposite 	 adjective 
 enthalten 	 incorporate ; contain ; comprise 	 verb 
 enthalten ; umfassen 	 embrace ; encompass ; comprehend ; cover 	 verb 
 enthüllen ; preisgeben 	 unwrap ; disclose ; let on ; bring out ; reveal ; discover ; expose ; divulge ; break ; give away ; let out 	 verb 
 entlang 	 along 	 adverb 
 entlassen ; hinauswerfen 	 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 verb 
 entscheiden ; bestimmen 	 decide ; make up one's mind ; determine 	 verb 
 entweder 	 either 	 adverb 
 entwerfen 	 design ; plan 	 verb 
 entwickeln 	 develop 	 verb 
 er 	 he 	 pronoun 
 erfahren ; geschickt 	 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 adjective 
 erfolgreich 	 successful 	 adjective 
 erforderlich ; notwendig ; nötig ; unerlässlich 	 necessary 	 adjective 
 erfreuen 	 please ; delight 	 verb 
 erhöhen ; steigern 	 enhance ; heighten ; raise 	 verb 
 erinnern ; sich erinnern 	 remember ; retrieve ; recall ; call back ; call up ; recollect ; think 	 verb 
 erklären ; erläutern ; aufklären 	 explain ; explicate 	 verb 
 erlauben ; gestatten ; gewähren ; zulassen ; ermöglichen 	 let ; allow ; permit 	 verb 
 erleiden ; erdulden 	 suffer ; endure 	 verb 
 erlernen ; lernen 	 learn ; larn ; acquire 	 verb 
 ermutigen 	 encourage 	 verb 
 ermüdend ; langweilig 	 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 adjective 
 ernst 	 serious 	 adjective 
 erreichen ; eintreffen 	 reach ; make ; attain ; hit ; arrive at ; gain 	 verb 
 erreichen ; erzielen 	 achieve ; accomplish ; attain ; reach 	 verb 
 erschaffen ; erzeugen ; kreieren ; machen 	 make ; create 	 verb 
 ersetzen 	 supplant ; replace ; supersede ; supervene upon ; supercede 	 verb 
 erst 	 first 	 adjective 
 erst ; zunächst ; erstens ; zuerst 	 first ; firstly ; foremost ; first of all ; first off 	 adverb 
 erwarten ; entgegensehen 	 expect ; look ; await ; wait 	 verb 
 erwärmen ; anwärmen ; aufwärmen 	 warm 	 verb 
 erziehen ; aufziehen 	 rear ; raise ; bring up ; nurture ; parent 	 verb 
 erzürnt 	 angry 	 adjective 
 es 	 it 	 pronoun 
 essen 	 eat 	 verb 
 existieren ; bestehen 	 exist ; be 	 verb 
 fallen ; stürzen 	 fall 	 verb 
 falsch 	 false 	 adjective 
 falsch ; fehlerhaft 	 incorrect ; wrong 	 adjective 
 falsch ; unrichtig ; inkorrekt 	 false ; mistaken 	 adjective 
 farben ; Farb- ; farbig 	 color ; colour 	 adjective 
 fast 	 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 adverb 
 fest 	 solid 	 adjective 
 fest ; hart 	 firm ; solid 	 adjective 
 festgelegt ; festgesetzt 	 laid ; set 	 adjective 
 fettig ; speckig 	 fatty ; fat 	 adjective 
 feucht ; nass 	 wet 	 adjective 
 feuern ; schießen 	 open fire ; fire 	 verb 
 finanziell 	 fiscal ; financial 	 adjective 
 finden 	 find ; regain 	 verb 
 fliegen 	 fly ; wing 	 verb 
 flüssig 	 liquid 	 adjective 
 folgen 	 follow 	 verb 
 folgend ; nächste ; nachfolgend ; nachstehend ; nächster 	 following ; next 	 adjective 
 fordern ; verlangen 	 request ; bespeak ; call for ; quest 	 verb 
 forschen 	 research 	 verb 
 fortsetzen ; weitermachen 	 continue ; go on ; proceed ; go along ; keep 	 verb 
 fragen 	 ask ; inquire ; enquire 	 verb 
 frei 	 free 	 adjective 
 frei ; kostenlos ; umsonst 	 complimentary ; costless ; free ; gratis ; gratuitous 	 adjective 
 freundlich 	 friendly 	 adjective 
 frisch 	 fresh 	 adjective 
 früh 	 early 	 adjective 
 früh 	 early on ; early 	 adverb 
 funktionieren ; arbeiten 	 function ; work ; operate ; go ; run 	 verb 
 fähig 	 able 	 adjective 
 fühlen ; tasten 	 feel ; sense 	 verb 
 füllen ; auffüllen 	 fill ; fill up ; make full 	 verb 
 fünf 	 five ; 5 ; v 	 number 
 fünfte ; fünfter 	 fifth ; 5th 	 number 
 fünfzehn 	 fifteen ; 15 ; xv 	 number 
 fünfzig 	 fifty ; 50 ; l 	 number 
 ganz ; gesamt ; gesamter ; völlig 	 full ; total 	 adjective 
 geben 	 give 	 verb 
 geduldig 	 patient 	 adjective 
 gefährlich 	 dangerous ; unsafe 	 adjective 
 gegeben ; angegeben 	 fixed 	 adjective 
 gegen 	 against 	 preposition 
 gegenwärtig 	 present 	 adjective 
 gegenwärtig ; geläufig ; gängig 	 current 	 adjective 
 geheim 	 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 adjective 
 gehen 	 walk 	 verb 
 gehen ; bewegen sich 	 travel ; go ; move ; locomote 	 verb 
 gelb 	 yellow ; yellowish ; xanthous 	 color 
 geläufig 	 common 	 adjective 
 gemeinsam 	 common ; mutual 	 adjective 
 genau 	 right 	 adverb 
 genau ; gerade 	 precisely ; exactly ; just 	 adverb 
 genießen 	 enjoy ; bask ; relish ; savor ; savour 	 verb 
 genug 	 enough ; plenty 	 adverb 
 gerade 	 even 	 adjective 
 gerecht 	 just 	 adjective 
 geräuschlos ; still 	 silent ; soundless ; still 	 adjective 
 geschlossen ; ungeöffnet 	 shut ; unopen ; closed 	 adjective 
 gesund 	 good ; sound 	 adjective 
 gesund 	 healthy 	 adjective 
 gesund 	 healthy ; salubrious ; good for you 	 adjective 
 gewaltsam 	 violent 	 adjective 
 gewinnen 	 win 	 verb 
 gewiss ; bestimmt ; sicher ; sicherlich 	 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 adverb 
 gewiss ; sicher 	 certain ; sure 	 adjective 
 gewöhnlich 	 by and large ; generally ; more often than not ; mostly 	 adverb 
 gewöhnlich 	 normally ; usually ; unremarkably ; commonly ; ordinarily 	 adverb 
 geöffnet ; ofen ; offen 	 open ; unfastened 	 adjective 
 geöffnet ; offen 	 open ; opened 	 adjective 
 glatt 	 smooth 	 adjective 
 glauben ; trauen 	 believe 	 verb 
 gleich 	 equal 	 adjective 
 gleich 	 right 	 adverb 
 glücklich 	 happy 	 adjective 
 glücklich 	 lucky 	 adjective 
 golden 	 aureate ; gilded ; gilt ; gold ; golden 	 color 
 grau 	 grey ; gray ; greyish ; grayish 	 adjective 
 gross 	 tall 	 adjective 
 groß 	 great 	 adjective 
 groß 	 large ; big 	 adjective 
 grundlegend 	 cardinal ; central ; fundamental ; key ; primal 	 adjective 
 grün 	 green ; greenish ; light-green ; dark-green 	 color 
 gut 	 well ; good 	 adverb 
 gut ; lieb 	 good 	 adjective 
 haben 	 have ; have got ; hold 	 verb 
 hallo ; tschüss 	 hello ; hullo ; hi ; howdy ; how-do-you-do 	 linguistics 
 halten 	 hold ; take hold 	 verb 
 halten 	 survive ; last ; live ; live on ; go ; endure ; hold up ; hold out 	 verb 
 halten ; erhalten 	 keep ; maintain ; hold 	 verb 
 handeln 	 trade ; merchandise 	 verb 
 handeln ; sich benehmen ; sich verhalten 	 behave ; acquit ; bear ; deport ; conduct ; comport ; carry 	 verb 
 hassen 	 hate ; detest 	 verb 
 hauptsächlich 	 major 	 adjective 
 heilen ; behandeln 	 treat ; care for 	 verb 
 heiraten 	 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 verb 
 hell ; klar 	 bright ; brilliant ; vivid 	 adjective 
 herrschen ; regieren 	 govern ; rule 	 verb 
 heute 	 today 	 adverb 
 heute abend 	 tonight ; this evening ; this night 	 adverb 
 hier 	 here 	 adverb 
 hier 	 here ; hither 	 adverb 
 hinauf ; oben ; aufwärts 	 up ; upwards ; upward ; upwardly 	 adverb 
 hindern ; verhindern ; vorbeugen 	 prevent ; forestall ; foreclose ; preclude ; forbid 	 verb 
 hinein ; im 	 in ; inwards ; inward 	 adverb 
 hinter 	 behind 	 adverb 
 hinterlassen ; zurücklassen 	 leave 	 verb 
 hoch 	 high 	 adjective 
 hoffen 	 hope 	 verb 
 human ; menschlich 	 human 	 adjective 
 hungrig 	 hungry 	 adjective 
 husten 	 cough 	 verb 
 häufig 	 frequent 	 adjective 
 häufig ; oft ; oftmals 	 frequently ; often ; oftentimes ; oft ; ofttimes 	 adverb 
 hören 	 hear 	 verb 
 identifizieren 	 identify ; place 	 verb 
 ihm 	 him 	 pronoun 
 ihr 	 her 	 pronoun 
 ihr 	 their 	 pronoun 
 in 	 into 	 preposition 
 individuell 	 individual ; private 	 adjective 
 indizieren 	 bespeak ; betoken ; indicate ; point ; signal 	 verb 
 industriell 	 industrial 	 adjective 
 innen ; innerhalb ; inwendig 	 inside ; within 	 adverb 
 intelligent ; verständig 	 intelligent 	 adjective 
 interessant 	 interesting 	 adjective 
 international 	 international 	 adjective 
 irgendetwas 	 anything 	 pronoun 
 ja 	 yes 	 abstract 
 jede ; jeder ; jedes 	 each 	 adjective 
 jene 	 that 	 pronoun 
 jenseits 	 beyond 	 adverb 
 jetzt 	 now ; at present 	 adverb 
 jetzt ; nun 	 now 	 time 
 jung 	 young ; immature 	 adjective 
 kalt 	 cold 	 adjective 
 kapitulieren 	 surrender ; give up 	 verb 
 kaputt 	 broken 	 adjective 
 kaufen 	 buy ; purchase 	 verb 
 kein 	 no 	 adjective 
 klassifizieren ; sortieren ; ordnen 	 classify ; class ; sort ; assort ; sort out ; separate 	 verb 
 klauen ; stehlen 	 steal 	 verb 
 kleben ; ankleben 	 glue ; paste 	 verb 
 klebrig ; pappig 	 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 adjective 
 klein 	 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 adjective 
 klein 	 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 adjective 
 klein 	 small ; little 	 adjective 
 kochen 	 cook 	 verb 
 kochen 	 cook ; fix ; ready ; make ; prepare 	 verb 
 kommen 	 come ; come up 	 verb 
 kopieren 	 copy ; re-create 	 verb 
 korrekt ; richtig 	 correct ; right 	 adjective 
 korrespondieren ; übereinstimmen 	 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 verb 
 kosten ; schmecken ; verkosten 	 taste ; savor ; savour 	 verb 
 krank 	 ill ; sick 	 adjective 
 kreisförmig ; kreisrund ; ringförmig 	 round ; circular 	 adjective 
 kurtz 	 short 	 adjective 
 kämpfen ; ringen ; sich prügeln ; sich schlagen 	 contend ; fight ; struggle 	 verb 
 königlich 	 imperial ; majestic ; purple ; regal ; royal 	 adjective 
 körperlich ; physisch 	 physical 	 adjective 
 küche 	 kitchen 	 house 
 künftig 	 future 	 adjective 
 küssen 	 snog ; kiss ; buss ; osculate 	 verb 
 lachen 	 laugh ; express joy ; express mirth 	 verb 
 laden ; aufladen 	 load ; charge 	 verb 
 landen 	 land ; set down 	 verb 
 lang 	 long 	 adjective 
 lang 	 long 	 adjective 
 langsam 	 slow 	 adjective 
 langsam 	 slowly ; slow ; easy ; tardily 	 adverb 
 lassen 	 let 	 verb 
 laut 	 loud 	 adjective 
 leben 	 be ; live 	 verb 
 lebend ; lebendig 	 alive ; live 	 adjective 
 ledig ; unverheiratet ; alleinstehend 	 unmarried ; single 	 adjective 
 legal 	 legal 	 adjective 
 lehren ; unterrichten ; beibringen 	 teach ; learn ; instruct 	 verb 
 leicht 	 easy 	 adjective 
 leicht 	 light 	 adjective 
 leise 	 quiet 	 adjective 
 leiten 	 manage ; deal ; care ; handle 	 verb 
 leiten ; führen 	 lead ; take ; direct ; conduct ; guide 	 verb 
 lesen 	 read 	 verb 
 letzter 	 last ; lastly ; in conclusion ; finally 	 adverb 
 lieb ; nett 	 kind 	 adjective 
 lieben 	 love 	 verb 
 lieben ; mögen 	 like 	 verb 
 liefern ; zustellen ; bieten ; ausstatten 	 supply ; provide ; render ; furnish 	 verb 
 liegen 	 lie 	 verb 
 lila ; violett 	 purple ; violet ; purplish 	 color 
 linke ; links 	 left 	 adjective 
 lokal 	 local 	 adjective 
 lächeln 	 smile 	 verb 
 lügen 	 lie 	 verb 
 machen ; tun 	 make ; do 	 verb 
 mager 	 thin ; lean 	 adjective 
 malen ; zeichnen 	 trace ; draw ; line ; describe ; delineate 	 verb 
 materiell ; stofflich 	 material 	 adjective 
 medizinisch 	 medical 	 adjective 
 mehr 	 more ; more than 	 adjective 
 mehr 	 more ; to a greater extent 	 adverb 
 mehrere 	 several 	 adjective 
 meiden ; vermeiden 	 avoid 	 verb 
 mein ; meine 	 my 	 pronoun 
 merkwürdig 	 strange ; unusual 	 adjective 
 messen 	 measure ; mensurate ; measure out 	 verb 
 metallisch 	 metallic ; metal 	 adjective 
 mies ; hässlich 	 ugly 	 adjective 
 militärisch 	 military 	 adjective 
 mir ; mich 	 me 	 pronoun 
 mit 	 with 	 preposition 
